url,question,answer
https://luatvietnam.vn/luat-su-tu-van/hop-dong-tang-cho-dat-co-hieu-luc-bao-lau--149649-faqs.html,1. Hợp đồng cho tặng đất có hiệu lực bao lâu?,"[{""question"": ""1. Hợp đồng cho tặng đất có hiệu lực bao lâu?"", ""answer"": ""Hiện nay, pháp luật không có quy định cụ thể về vấn đề hợp đồng tặng cho có hiệu lực bao lâu. Tuy nhiên, có quy định về việc hợp đồng tặng cho có hiệu lực khi nào?""}, {""question"": ""2. Có được đòi lại bất động sản đã được tặng cho hay không?"", ""answer"": ""Hiện nay nếu hợp đồng tặng cho đất đã được\ncông chứng\nhoặc chứng thực và làm thủ tục chuyển đổi quyền sở hữu thì quyền sở hữu sẽ thuộc về người được tặng cho. Cũng chính vì thế, người tặng không được đòi lại tài sản nói trên. Tuy nhiên, cũng có một số trường hợp ngoại lệ, thì vẫn có khả năng đòi lại đất đã tặng cho, cụ thể như sau:""}, {""question"": ""Bộ luật Dân sự của Quốc hội, số 91/2015/QH13"", ""answer"": ""Dân sự""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/co-bi-doi-tru-tien-boi-thuong-dat-khi-chua-duoc-cap-so-do-khong-149484-faqs.html,1. Căn cứ pháp lý,"[{""question"": ""1. Căn cứ pháp lý"", ""answer"": ""-\nLuật đất đai 2013""}, {""question"": ""2. Tư vấn của luật sư"", ""answer"": ""Căn cứ quy định tại khoản 4, Điều 93 Luật Đất đai 2013 về chi trả tiền bồi thường, hỗ trợ,\ntái định cư\nthì:""}, {""question"": ""Nghị định 47/2014/NĐ-CP của Chính phủ quy định về bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất"", ""answer"": ""Đất đai-Nhà ở\n,\nChính sách""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/tang-cho-quyen-su-dung-dat-thuoc-so-huu-chung-cua-gia-dinh-149483-faqs.html,1. Căn cứ pháp lý,"[{""question"": ""1. Căn cứ pháp lý"", ""answer"": ""-\nBộ luật Dân sự 2015""}, {""question"": ""2. Tư vấn của Luật sư"", ""answer"": ""Khoản 29, Điều 3 Luật đất đai 2013 định nghĩa \""\nhộ gia đình sử dụng đất\n\"" là những người có quan hệ hôn nhân, huyết thống, nuôi dưỡng theo quy định của pháp luật về hôn nhân và gia đình, đang sống chung và có quyền sử dụng đất chung tại thời điểm được Nhà nước giao đất, cho thuê đất, công nhận quyền sử dụng đất; nhận chuyển quyền sử dụng đất.""}, {""question"": ""Bộ luật Dân sự của Quốc hội, số 91/2015/QH13"", ""answer"": ""Dân sự""}, {""question"": ""Thông tư 02/2015/TT-BTNMT của Bộ Tài nguyên và Môi trường về việc quy định chi tiết một số điều của Nghị định 43/2014/NĐ-CP và Nghị định 44/2014/NĐ-CP ngày 15/05/2014 của Chính phủ"", ""answer"": ""Đất đai-Nhà ở\n,\nTài nguyên-Môi trường""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/doi-lai-dat-nhung-hang-xom-khong-tra-phai-lam-sao-149498-faqs.html,"Luật Đất đai của Quốc hội, số 45/2013/QH13","[{""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/mien-thue-thu-nhap-ca-nhan-khi-chuyen-nhuong-bat-dong-san-duy-nhat-149497-faqs.html,1. Chỉ có một bất động sản duy nhất ở Long An có được miễn thuế thu nhập cá nhân không?,"[{""question"": ""1. Chỉ có một bất động sản duy nhất ở Long An có được miễn thuế thu nhập cá nhân không?"", ""answer"": ""Căn cứ điểm b, khoản 1, Điều 3\nThông tư 111/2013/TT-BTC\ncó quy định về các khoản thu nhập được miễn thuế như sau:""}, {""question"": ""2. Tặng cho con trai để chuyển nhượng cho bên mua có được miễn thuế thu nhập cá nhân không?"", ""answer"": ""Con trai bạn không đứng tên trên bất cứ bất động sản nào ở Việt Nam, trường hợp bạn tặng cho con trai và để con trai bạn chuyển nhượng thửa đất này cho người khác để được miễn\nthuế thu nhập cá nhân\ncần phải đáp ứng đầy đủ các điều kiện theo quy định tại điểm b, khoản 1, Điều 3 Thông tư 111/2013/TT-BTC như sau:""}, {""question"": ""Thông tư 111/2013/TT-BTC của Bộ Tài chính về việc hướng dẫn thực hiện Luật Thuế thu nhập cá nhân, Luật sửa đổi, bổ sung một số điều của Luật Thuế thu nhập cá nhân và Nghị định 65/2013/NĐ-CP của Chính phủ quy định chi tiết một số điều của Luật Thuế thu nhập cá nhân và Luật sửa đổi, bổ sung một số điều của Luật Thuế thu nhập cá nhân"", ""answer"": ""Thuế-Phí-Lệ phí""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/dat-5-co-duoc-cap-so-do-khong-149496-faqs.html,1. Đất 5% có thể làm thủ tục cấp sổ đỏ được không?,"[{""question"": ""1. Đất 5% có thể làm thủ tục cấp sổ đỏ được không?"", ""answer"": ""Căn cứ khoản 1, Điều 132\nLuật Đất đai 2013\ncó quy định như sau:""}, {""question"": ""2. Chưa làm sổ đỏ, có dự án thu hồi đất để làm đường thì tôi có được bồi thường không?"", ""answer"": ""Căn cứ khoản 1, Điều 76 Luật Đất đai 2013 có quy định về việc\nbồi thường\nkhi thu hồi đất như sau:""}, {""question"": ""Nghị định 43/2014/NĐ-CP của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/ket-hop-nuoi-ruoi-va-trong-lua-thi-co-bi-coi-la-su-dung-sai-muc-dich-khong--149356-faqs.html,I. Căn cứ pháp lý,"[{""question"": ""I. Căn cứ pháp lý"", ""answer"": ""-\nLuật Đất đai năm 2013""}, {""question"": ""II. Nội dung tư vấn"", ""answer"": ""Căn cứ Điều 10 Luật Đất đai 2013, các loại\nđất nông nghiệp\nđược phân loại theo mục đích sử dụng như sau:""}, {""question"": ""Nghị định 04/2022/NĐ-CP của Chính phủ về việc sửa đổi, bổ sung một số điều của các nghị định về xử phạt vi phạm hành chính trong lĩnh vực đất đai; tài nguyên nước và khoáng sản; khí tượng thủy văn; đo đạc và bản đồ"", ""answer"": ""Đất đai-Nhà ở\n,\nVi phạm hành chính\n,\nTài nguyên-Môi trường""}, {""question"": ""Nghị định 91/2019/NĐ-CP của Chính phủ về xử phạt vi phạm hành chính trong lĩnh vực đất đai"", ""answer"": ""Đất đai-Nhà ở\n,\nVi phạm hành chính""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/co-duoc-tiep-tuc-thue-dat-khi-het-han-thue-khong-149359-faqs.html,1. Thời gian thuê đất công ích,"[{""question"": ""1. Thời gian thuê đất công ích"", ""answer"": ""Để được thuê đất công ích thì bạn cần phải thực hiện đấu giá quyền sử dụng đất theo quy định của pháp luật về đất đai, đấu giá (thông thường hình thức đấu giá để có quyền sử dụng đất là đấu giá lên)""}, {""question"": ""2. Gia hạn thời hạn thuê đất công ích"", ""answer"": ""Sau khi hết thời hạn thuê đất công ích, nếu bạn có nhu cầu gia hạn, bạn cần phải có đơn xin gia hạn thuê đất để được tham gia thực hiện việc đấu giá quyền sử dụng đất, UBND xã căn cứ vào quy hoạch sử dụng đất tại địa phương và kết quả đầu giá quyền sử dụng đất sau đó mới quyết định được người được quyền tiếp tục sử dụng diện tích đất công ích này, theo quy định điểm đ, khoản 1, Điều 118\nLuật đất đai 2013\n:""}, {""question"": ""Nghị định 43/2014/NĐ-CP của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/xay-nha-tren-dat-nong-nghiep-co-xin-cap-so-do-duoc-khong-149233-faqs.html,I. Căn cứ pháp lý:,"[{""question"": ""I. Căn cứ pháp lý:"", ""answer"": ""-\nLuật Đất đai 2013""}, {""question"": ""II. Nội dung tư vấn:"", ""answer"": ""Theo quy định của pháp luật tại Điều 10 Luật Đất đai 2013 quy định nhà ở chỉ được xây dựng trên đất ở. Bên cạnh đó, khoản 1, Điều 170 Luật Đất đai 2013 quy định một trong những nghĩa vụ của người sử dụng đất là phải sử dụng đất đúng mục đích. Và căn cứ theo khoản 1, Điều 6 Luật Đất đai năm 2013 quy định một trong những nguyên tắc sử dụng đất là “\nĐúng quy hoạch, kế hoạch sử dụng đất và đúng mục đích sử dụng đất\n”. Theo đó, pháp luật không cho phép xây nhà trên đất nông nghiệp khác. Việc sử dụng đất nông nghiệp vào mục đích khác mà chưa được sự cho phép của cơ quan có thẩm quyền là không đúng với quy hoạch. Để thực hiện việc cấp sổ đỏ trong trường hợp của bạn, gia đình bạn cần chuyển mục đích sử dụng đất từ nông nghiệp sang phi nông nghiệp, sau đó mới làm được thủ tục xin cấp sổ đỏ.""}, {""question"": ""Thủ tục chuyển đổi mục đích sử dụng đất:"", ""answer"": ""Căn cứ điểm d, khoản 1, Điều 57 Luật đất đai 2013 quy định như sau:""}, {""question"": ""Thủ tục cấp sổ đỏ:"", ""answer"": ""+ Căn cứ, Khoản 1, Điều 8, Thông tư 24/2014/TT-BTNMT quy định Hồ sơ làm sổ đỏ gồm có:""}, {""question"": ""Nghị định 91/2019/NĐ-CP của Chính phủ về xử phạt vi phạm hành chính trong lĩnh vực đất đai"", ""answer"": ""Đất đai-Nhà ở\n,\nVi phạm hành chính""}, {""question"": ""Nghị định 01/2017/NĐ-CP của Chính phủ về việc sửa đổi, bổ sung một số Nghị định quy định chi tiết thi hành Luật Đất đai"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Thông tư 24/2014/TT-BTNMT của Bộ Tài nguyên và Môi trường quy định về hồ sơ địa chính"", ""answer"": ""Tài nguyên-Môi trường""}, {""question"": ""Nghị định 43/2014/NĐ-CP của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/gia-mao-chu-ky-giap-ranh-bi-xu-ly-nhu-the-nao-149952-faqs.html,1. Căn cứ pháp lý,"[{""question"": ""1. Căn cứ pháp lý"", ""answer"": ""-\nBộ luật Hình sự năm 2015 (Sửa đổi, bổ sung năm 2021)""}, {""question"": ""2. Tư vấn của Luật sư"", ""answer"": ""2.1. Tự ký giả mạo chữ ký của người khác có vi phạm pháp luật không?""}, {""question"": ""Thông tư 09/2021/TT-BTNMT của Bộ Tài nguyên và Môi trường về việc sửa đổi, bổ sung một số điều của các thông tư quy định chi tiết và hướng dẫn thi hành Luật Đất đai"", ""answer"": ""Đất đai-Nhà ở\n,\nTài nguyên-Môi trường""}, {""question"": ""Bộ luật Hình sự của Quốc hội, số 100/2015/QH13"", ""answer"": ""Hình sự""}, {""question"": ""Luật Công chứng của Quốc hội, số 53/2014/QH13"", ""answer"": ""Hành chính\n,\nTư pháp-Hộ tịch""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
